Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,CO2,CO2_rel,H2O,H2O_rel,CO,CO_rel,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,4.897839,1496.006325,2573351.025000,3.773121,6144.274824,100.000000,0.873200,23396601.829888,54.592063,16.193125,1148.640827,682021.834557,4.435528,2243.857132,100.000000,0.868200,19538770.648995,54.592063,61.602329,844.941377,153763.399207,1.000000,54.592063,61.602329,844.941377,153763.399207,1.517527,760.138819,101325.000000,438.181145,0.809088,760.138819,101325.000000,0.268268,0.268268,23.921213,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,3.471969,0.063598,1.361667,0.024943,0.000005,0.000000,109.439772,109.439772,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,19.560000,0.118904,138.406430,325.263160,251.713200,40297.860011,1,138.406430,325.262936,251.713200,40297.860011,3976.855997,4634.874615,88.769107,94.976939,6408309.291426,5.465268,0.561589,2.197046,1.567366,50.309272,274.953665,0.857812,0.841982,21.407686,26.056105,325.917259,88536.264329,10.341328,12808.841099,12043.853677,91.491722,98.597323,0.851835,7772752.790548,21.407685,3.632318,677.342998,915582.555033,1,0.118904,21.526589,4.897056,1217.587476,915582.555033,3.808240,6231.162307,101.414121,0.875195,7772752.778826,21.526589,16.213205,920.278114,240421.434604,4.595247,2225.305444,99.173223,0.863677,6408309.274864,21.526589,63.151453,661.196102,52319.588488,1.000000,21.526589,63.151453,661.196102,52319.588488,1.979084,557.985252,27861.869689,477.045391,1.000000,557.985252,26436.267341,0.268268,0.268268,10.651603,116.998744,189.215727,292.847984,63161.493491,1.000000,116.998744,189.215727,292.847984,63161.493491,2.389199,243.752565,33324.150772,313.401222,1.000000,243.752565,26436.267341,0.783835,0.783835,42.066510,-0.000000,-0.000000,1.062509,0.049358,0.000000,0.000000,52.718114,19.560000,33.158114,0.118904,-0.000017,-0.000012,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,20.538000,0.124136,140.382159,329.906051,251.713200,40297.860011,1,140.382159,329.906011,251.713200,40297.860011,4043.620210,4712.685770,90.259380,96.571430,6666540.233900,5.411490,0.387478,2.232435,1.590303,51.455439,278.450572,0.861521,0.848293,21.895405,26.281708,327.271447,89962.340857,10.479676,12972.503614,12172.479567,92.660740,99.650322,0.849063,8070211.077531,21.895405,3.624974,683.764194,942776.160039,1,0.124136,22.019540,4.895783,1233.191218,942776.160039,3.807293,6270.727098,102.058050,0.876302,8070211.077011,22.019540,16.207723,932.389660,247623.731525,4.594500,2247.920491,100.181088,0.865998,6666540.232611,22.019540,63.114354,669.781672,53895.689565,1.000000,22.019540,63.114354,669.781672,53895.689565,2.038703,565.459922,28709.128444,480.239579,1.000000,565.459922,26436.267341,0.268268,0.268268,11.184390,118.486754,189.213182,293.949387,64085.827067,1.000000,118.486754,189.213182,293.949387,64085.827067,2.424163,244.674788,33812.339980,313.988091,1.000000,244.674788,26436.267341,0.783835,0.783835,42.985050,-0.000000,-0.000000,1.109258,0.050376,0.000000,0.000000,54.169440,20.538000,33.631440,0.124136,-0.000001,-0.000001,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,21.516000,0.129473,142.338182,334.503030,251.713200,40297.860011,1,142.338182,334.502776,251.713200,40297.860011,4108.949278,4788.824317,91.717618,98.131646,6926125.409273,5.363463,0.225323,2.269015,1.613193,52.566156,281.936620,0.865249,0.854341,22.368039,26.471690,328.648555,91436.459325,10.606915,13164.881299,12327.085160,94.034866,100.916005,0.845125,8375145.615510,22.368039,3.617558,690.521877,969858.746408,1,0.129473,22.497512,4.894097,1249.333857,969858.746408,3.806886,6322.473312,102.900236,0.877683,8375145.612418,22.497512,16.202201,944.804021,254764.335798,4.593322,2269.181455,101.128607,0.868090,6926125.407318,22.497512,63.075935,678.683607,55464.074849,1.000000,22.497512,63.075935,678.683607,55464.074849,2.098030,573.218071,29553.124442,483.530256,1.000000,573.218071,26436.267341,0.268268,0.268268,11.714380,119.970143,189.210679,295.030561,65008.229082,1.000000,119.970143,189.210679,295.030561,65008.229082,2.459055,245.580122,34299.515893,314.563101,1.000000,245.580122,26436.267341,0.783835,0.783835,43.901666,-0.000000,-0.000000,1.156948,0.051426,0.000000,0.000000,55.616046,21.516000,34.100046,0.129473,-0.000002,-0.000003,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.494000,0.135002,144.255516,339.008679,251.713200,40297.860011,1,144.255516,339.008620,251.713200,40297.860011,4173.079888,4863.566107,93.149105,99.663240,7188147.003450,5.323254,0.084208,2.308129,1.635962,53.612998,285.395622,0.868922,0.859924,22.813493,26.600462,330.114406,93012.675196,10.713834,13366.527208,12488.079651,95.475194,102.233991,0.839680,8684840.903586,22.813493,3.609609,697.744169,996522.345026,1,0.135002,22.948495,4.892314,1266.717518,996522.345026,3.806480,6375.114809,103.756993,0.879022,8684840.903504,22.948495,16.196869,958.222042,261796.307375,4.591278,2288.405233,101.985336,0.869915,7188147.003457,22.948495,63.033867,688.469547,57020.354916,1.000000,22.948495,63.033867,688.469547,57020.354916,2.156899,581.755933,30392.117607,487.122532,1.000000,581.755933,26436.267341,0.268268,0.268268,12.239956,121.442023,189.208200,296.099398,65925.753577,1.000000,121.442023,189.208200,296.099398,65925.753577,2.493762,246.475173,34784.127460,315.130503,1.000000,246.475173,26436.267341,0.783835,0.783835,44.813427,-0.000000,-0.000000,1.206348,0.052568,0.000000,0.000000,57.053383,22.494000,34.559383,0.135002,0.000000,-0.000000,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,23.472000,0.140765,146.124985,343.402436,251.713200,40297.860011,1,146.124985,343.401977,251.713200,40297.860011,4235.876742,4936.753455,94.550820,101.162981,7453154.345692,5.290824,-0.033832,2.349763,1.658555,54.587757,288.814220,0.872439,0.864863,23.228274,26.666947,331.673184,94690.436197,10.797833,13531.048037,12612.046633,96.650343,103.248850,0.833341,8991366.170913,23.228274,3.601037,705.167121,1022451.546510,1,0.140765,23.369039,4.891156,1285.322965,1022451.546510,3.805082,6406.703335,104.271106,0.879803,8991366.075378,23.369039,16.191887,972.872828,268706.840638,4.588210,2305.284813,102.737593,0.871470,7453154.351128,23.369039,62.987300,699.327387,58564.632196,1.000000,23.369039,62.987300,699.327387,58564.632196,2.215314,591.240473,31226.460172,491.078664,1.000000,591.240473,26436.267341,0.268268,0.268268,12.761091,122.896711,189.205725,297.164667,66836.218834,1.000000,122.896711,189.205725,297.164667,66836.218834,2.528202,247.367285,35265.027431,315.694982,1.000000,247.367285,26436.267341,0.783835,0.783835,45.718162,-0.000000,-0.000000,1.257837,0.053825,0.000000,0.000000,58.479253,23.472000,35.007253,0.140765,0.000005,-0.000096,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.146732,147.952076,347.695917,251.713200,40297.860011,1,147.952076,347.695744,251.713200,40297.860011,4296.479849,5007.384075,95.903568,102.610329,7720845.671616,5.263124,-0.138272,2.391978,1.680930,55.514747,292.180996,0.875687,0.869011,23.622728,26.704270,333.246186,96391.610197,10.870747,13656.779822,12699.160909,97.548427,103.962013,0.826814,9294721.280579,23.622728,3.592140,712.572437,1047848.847446,1,0.146732,23.769460,4.890638,1304.592852,1047848.847446,3.802812,6418.301619,104.459872,0.880099,9294721.240839,23.769460,16.187314,988.289065,275545.823404,4.584349,2319.957859,103.391514,0.872786,7720845.679953,23.769460,62.937656,710.886269,60105.764235,1.000000,23.769460,62.937656,710.886269,60105.764235,2.273610,601.350881,32060.610418,495.258068,1.000000,601.350881,26436.267341,0.268268,0.268268,13.280847,124.329347,189.203235,298.234762,67737.868834,1.000000,124.329347,189.203235,298.234762,67737.868834,2.562308,248.263487,35741.293172,316.260989,1.000000,248.263487,26436.267341,0.783835,0.783835,46.614123,-0.000000,-0.000000,1.311151,0.055161,0.000000,0.000000,59.894970,24.450000,35.444970,0.146732,0.000008,-0.000040,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,25.428000,0.152897,149.738458,351.893923,251.713200,40297.860011,1,149.738458,351.893842,251.713200,40297.860011,4353.944991,5074.357515,97.186272,103.982736,7990745.484576,5.238921,-0.232688,2.433511,1.703068,56.402995,295.490847,0.878592,0.872330,24.000697,26.730060,334.786677,98065.287069,10.940219,13757.039294,12762.924690,98.264566,104.484017,0.820214,9597303.616750,24.000697,3.582991,719.965747,1072855.728893,1,0.152897,24.153594,4.890548,1324.401484,1072855.728893,3.800046,6416.888018,104.436865,0.880092,9597303.610943,24.153594,16.183285,1004.292525,282327.046864,4.579736,2332.180364,103.936224,0.873862,7990745.486228,24.153594,62.885430,723.012777,61647.008234,1.000000,24.153594,62.885430,723.012777,61647.008234,2.331910,611.972764,32896.250210,499.608436,1.000000,611.972764,26436.267341,0.268268,0.268268,13.800344,125.737761,189.200718,299.314170,68629.981425,1.000000,125.737761,189.200718,299.314170,68629.981425,2.596054,249.167538,36212.545811,316.830882,1.000000,249.167538,26436.267341,0.783835,0.783835,47.500590,-0.000000,-0.000000,1.366224,0.056564,0.000000,0.000000,61.300934,25.428000,35.872934,0.152897,0.000002,-0.000006,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,26.406000,0.159253,151.486500,356.001896,251.713200,40297.860011,1,151.486500,356.001841,251.713200,40297.860011,4407.823914,5137.151354,98.388927,105.269495,8262500.625145,5.217783,-0.317952,2.473896,1.724983,57.255434,298.746407,0.881136,0.874902,24.363428,26.750575,336.280562,99692.723982,11.009076,13840.307322,12811.623375,98.859338,104.882690,0.813548,9900359.594627,24.363428,3.573632,727.372617,1097524.753005,1,0.159253,24.522681,4.890748,1344.710492,1097524.753005,3.797013,6406.792357,104.272555,0.879883,9900359.593550,24.522681,16.179880,1020.809292,289049.522979,4.574407,2341.861687,104.367682,0.874710,8262500.625476,24.522681,62.830841,735.648284,63188.420600,1.000000,24.522681,62.830841,735.648284,63188.420600,2.390217,623.056725,33733.419398,504.105216,1.000000,623.056725,26436.267341,0.268268,0.268268,14.319602,127.123072,189.198175,300.402769,69513.107432,1.000000,127.123072,189.198175,300.402769,69513.107432,2.629460,250.079337,36679.075944,317.404576,1.000000,250.079337,26436.267341,0.783835,0.783835,48.378112,-0.000000,-0.000000,1.423009,0.058028,0.000000,0.000000,62.697714,26.406000,36.291714,0.159253,0.000000,-0.000001,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,27.384000,0.165782,153.202347,360.034206,251.713200,40297.860011,1,153.202347,360.034177,251.713200,40297.860011,4458.348907,5196.036314,99.516717,106.476154,8535909.530097,5.199172,-0.395524,2.513193,1.746711,58.077786,301.956391,0.883344,0.876895,24.713357,26.768099,337.732297,101276.295316,11.077735,13911.551142,12849.865205,99.368222,105.195758,0.806878,10204316.827273,24.713357,3.564183,734.783494,1121911.917717,1,0.165782,24.879139,4.891141,1365.377332,1121911.917717,3.793846,6390.848529,104.013064,0.879533,10204316.827013,24.879139,16.177044,1037.698660,295718.920096,4.568504,2349.350084,104.701411,0.875370,8535909.530187,24.879139,62.774403,748.669544,64729.928771,1.000000,24.879139,62.774403,748.669544,64729.928771,2.448528,634.496251,34572.000338,508.701767,1.000000,634.496251,26436.267341,0.268268,0.268268,14.838617,128.488990,189.195615,301.496289,70388.730732,1.000000,128.488990,189.195615,301.496289,70388.730732,2.662582,250.995309,37141.664393,317.979805,1.000000,250.995309,26436.267341,0.783835,0.783835,49.248164,-0.000000,-0.000000,1.481327,0.059541,0.000000,0.000000,64.086780,27.384000,36.702780,0.165782,0.000000,-0.000000,
