Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,CO2,CO2_rel,H2O,H2O_rel,CO,CO_rel,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,4.897839,1496.006325,2573351.025000,3.773121,6144.274824,100.000000,0.873200,23396601.829888,54.592063,16.193125,1148.640827,682021.834557,4.435528,2243.857132,100.000000,0.868200,19538770.648995,54.592063,61.602329,844.941377,153763.399207,1.000000,54.592063,61.602329,844.941377,153763.399207,1.517527,760.138819,101325.000000,438.181145,0.809088,760.138819,101325.000000,0.268268,0.268268,23.921213,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,3.471969,0.063598,1.361667,0.024943,0.000005,0.000000,109.439772,109.439772,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,19.560000,0.338587,137.895065,324.060757,251.713200,40297.860011,1,137.895065,324.061200,251.713200,40297.860011,3970.585758,4627.566889,88.629146,94.827190,6391503.173857,5.555444,0.852907,2.224869,1.565225,49.433905,274.627294,0.857355,0.841390,21.035198,25.335352,327.279515,89657.451093,10.279362,12589.240274,11812.706753,89.923145,96.705033,0.852796,7633347.223692,21.035198,3.548604,678.441551,921621.392818,1,0.338587,21.373785,4.901832,1253.846552,921621.392818,3.795182,6035.130137,98.223636,0.869499,7633347.213638,21.373785,16.226459,953.915470,242839.839923,4.647740,2182.272332,97.255405,0.857808,6391503.159021,21.373785,64.103375,689.192426,52249.013136,1.000000,21.373785,64.103375,689.192426,52249.013136,1.976414,583.408373,27886.195457,478.430618,1.000000,583.408373,26436.267341,0.268268,0.268268,10.614842,116.859867,189.215967,292.743691,63075.205797,1.000000,116.859867,189.215967,292.743691,63075.205797,2.385935,243.665241,33278.577809,313.345593,1.000000,243.665241,26436.267341,0.783835,0.783835,41.980763,1.068696,0.050000,0.419234,0.019614,0.000000,0.000000,52.595606,19.560000,33.035606,0.338587,-0.000015,-0.000010,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,20.538000,0.353031,139.889412,328.748029,251.713200,40297.860011,1,139.889412,328.748028,251.713200,40297.860011,4037.589038,4705.656668,90.124755,96.427391,6649282.849575,5.494951,0.666489,2.258435,1.588214,50.615940,278.132088,0.861028,0.847725,21.538180,25.604450,328.531754,91010.084407,10.432237,12704.187028,11897.823292,90.744193,97.401842,0.852587,7914670.463338,21.538180,3.541197,683.913841,949438.736637,1,0.353031,21.891210,4.901239,1268.210778,949438.736637,3.793653,6055.645882,98.557536,0.870183,7914670.463340,21.891210,16.221655,965.283501,250270.328935,4.648970,2205.992253,98.312509,0.860505,6649282.849572,21.891210,64.086949,697.092292,53833.500477,1.000000,21.891210,64.086949,697.092292,53833.500477,2.036350,590.344789,28740.376746,481.101453,1.000000,590.344789,26436.267341,0.268268,0.268268,11.150011,118.351232,189.213411,293.850027,64001.630257,1.000000,118.351232,189.213411,293.850027,64001.630257,2.420978,244.591590,33767.871025,313.935194,1.000000,244.591590,26436.267341,0.783835,0.783835,42.901381,1.114286,0.050901,0.437115,0.019968,0.000000,0.000000,54.051393,20.538000,33.513393,0.353031,-0.000000,0.000000,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,21.516000,0.367758,141.864946,333.390648,251.713200,40297.860011,1,141.864946,333.390646,251.713200,40297.860011,4103.197896,4782.121300,91.589239,97.994289,6908061.856754,5.440725,0.492006,2.292901,1.611163,51.762909,281.627737,0.864708,0.853820,22.026240,25.840686,329.797326,92398.984202,10.573651,12818.472654,11981.798949,91.560519,98.089310,0.851628,8197284.625195,22.026240,3.533609,689.486707,976994.591792,1,0.367758,22.393998,4.900663,1282.968630,976994.591792,3.792017,6074.878194,98.870548,0.870815,8197284.625191,22.393998,16.216724,976.994666,257645.121631,4.649790,2228.361667,99.309427,0.862932,6908061.856746,22.393998,64.069732,705.350726,55410.056340,1.000000,22.393998,64.069732,705.350726,55410.056340,2.095986,597.602886,29591.267475,483.875737,1.000000,597.602886,26436.267341,0.268268,0.268268,11.682297,119.838707,189.210900,294.935098,64926.425052,1.000000,119.838707,189.210900,294.935098,64926.425052,2.455960,245.500182,34256.309861,314.512373,1.000000,245.500182,26436.267341,0.783835,0.783835,43.820375,1.160772,0.051834,0.455348,0.020333,0.000000,0.000000,55.502672,21.516000,33.986672,0.367758,-0.000000,-0.000000,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.494000,0.382917,143.809429,337.960301,251.713200,40297.860011,1,143.809429,337.960291,251.713200,40297.860011,4167.543453,4857.113603,93.025524,99.531016,7168922.076886,5.392980,0.331998,2.329106,1.633986,52.864277,285.096014,0.868324,0.859461,22.494896,26.032297,331.119673,93857.998743,10.699694,12930.354052,12062.219761,92.359672,98.747678,0.849649,8481819.361030,22.494896,3.525612,695.299309,1004251.857987,1,0.382917,22.877813,4.900149,1298.554620,1004251.857987,3.790193,6091.014280,99.133168,0.871343,8481819.361004,22.877813,16.211808,989.422897,264960.617150,4.650036,2249.046685,100.231278,0.865088,7168922.076816,22.877813,64.051110,714.265714,56980.341956,1.000000,22.877813,64.051110,714.265714,56980.341956,2.155385,605.445670,30440.132290,486.850565,1.000000,605.445670,26436.267341,0.268268,0.268268,12.212184,121.314534,189.208415,296.006658,65846.155654,1.000000,121.314534,189.208415,296.006658,65846.155654,2.490751,246.397510,34742.085401,315.081312,1.000000,246.397510,26436.267341,0.783835,0.783835,44.734329,1.208618,0.052829,0.474113,0.020724,0.000000,0.000000,56.946513,22.494000,34.452513,0.382917,-0.000000,-0.000000,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,23.472000,0.398568,145.717166,342.443596,251.713200,40297.860011,1,145.717166,342.443580,251.713200,40297.860011,4230.523523,4930.514482,94.431329,101.035133,7432577.309237,5.350630,0.184401,2.367011,1.656611,53.922771,288.520808,0.871799,0.864466,22.945308,26.182768,332.501330,95385.492220,10.811623,13038.311752,12137.632380,93.130798,99.365045,0.846763,8768792.961975,22.945308,3.517201,701.355877,1031271.949860,1,0.398568,23.343876,4.899720,1315.008209,1031271.949860,3.788173,6103.324218,99.333516,0.871751,8768792.961942,23.343876,16.207010,1002.610055,272234.647828,4.649690,2267.970485,101.074639,0.866993,7432577.309214,23.343876,64.031006,723.867329,58548.994074,1.000000,23.343876,64.031006,723.867329,58548.994074,2.214722,613.901485,31289.562634,490.031634,1.000000,613.901485,26436.267341,0.268268,0.268268,12.741221,122.771858,189.205939,297.072552,66757.893915,1.000000,122.771858,189.205939,297.072552,66757.893915,2.525239,247.290142,35223.656072,315.646211,1.000000,247.290142,26436.267341,0.783835,0.783835,45.640330,1.258018,0.053891,0.493487,0.021140,0.000000,0.000000,58.381551,23.472000,34.909551,0.398568,-0.000000,-0.000000,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.414783,147.582164,346.826462,251.713200,40297.860011,1,147.582164,346.826431,251.713200,40297.860011,4291.301588,5001.349008,95.787982,102.486660,7699007.945220,5.313147,0.048785,2.405812,1.678985,54.937167,291.889264,0.875037,0.868682,23.376955,26.300795,333.914027,96949.080758,10.913602,13142.480706,12208.697373,93.874862,99.946820,0.843070,9058689.450582,23.376955,3.508282,707.656045,1058063.718111,1,0.414783,23.791739,4.899384,1332.415631,1058063.718111,3.785999,6111.767161,99.470928,0.872041,9058689.450574,23.791739,16.202535,1016.626842,279467.493620,4.648640,2284.638879,101.817484,0.868621,7699007.945214,23.791739,64.009264,734.225395,60118.114117,1.000000,23.791739,64.009264,734.225395,60118.114117,2.274077,623.034000,32140.854121,493.437163,1.000000,623.034000,26436.267341,0.268268,0.268268,13.270085,124.205209,189.203453,298.140979,67659.516125,1.000000,124.205209,189.203453,298.140979,67659.516125,2.559345,248.184942,35699.905066,316.211425,1.000000,248.184942,26436.267341,0.783835,0.783835,46.536265,1.309198,0.055027,0.513557,0.021585,0.000000,0.000000,59.806350,24.450000,35.356350,0.414783,-0.000000,-0.000000,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,25.428000,0.431626,149.400211,351.098994,251.713200,40297.860011,1,149.400211,351.098943,251.713200,40297.860011,4348.940937,5068.525480,97.074574,103.863227,7967772.756242,5.280577,-0.073339,2.444655,1.701094,55.902341,295.196602,0.877957,0.872065,23.787658,26.393357,335.328432,98514.360124,11.009301,13243.136719,12276.229129,94.593834,100.499671,0.838618,9351602.174728,23.787658,3.498743,714.208068,1084574.259272,1,0.431626,24.219284,4.899147,1350.897217,1084574.259272,3.783717,6116.303409,99.544756,0.872213,9351602.174711,24.219284,16.198607,1031.571599,286642.515127,4.646757,2298.492723,102.434896,0.869945,7967772.756215,24.219284,63.985673,745.434686,61686.574932,1.000000,24.219284,63.985673,745.434686,61686.574932,2.333407,632.929341,32993.621527,497.092541,1.000000,632.929341,26436.267341,0.268268,0.268268,13.798352,125.612553,189.200944,299.217060,68550.435498,1.000000,125.612553,189.200944,299.217060,68550.435498,2.593045,249.086202,36170.525170,316.779653,1.000000,249.086202,26436.267341,0.783835,0.783835,47.421548,1.362359,0.056251,0.534402,0.022065,0.000000,0.000000,61.219900,25.428000,35.791900,0.431626,-0.000000,-0.000000,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,26.406000,0.449122,151.171250,355.261041,251.713200,40297.860011,1,151.171250,355.260985,251.713200,40297.860011,4402.977188,5131.502679,98.280741,105.153743,8238440.297346,5.253004,-0.180343,2.483106,1.722958,56.814448,298.446536,0.880525,0.874691,24.175779,26.463812,336.731445,100063.850522,11.100217,13338.175894,12338.544030,95.272685,101.009813,0.833489,9646799.064197,24.175779,3.488554,720.995899,1110730.425253,1,0.449122,24.624901,4.899034,1370.486117,1110730.425253,3.781321,6116.013452,99.540037,0.872241,9646799.064178,24.624901,16.195362,1047.485112,293741.340078,4.643998,2309.307775,102.916881,0.870969,8238440.297332,24.624901,63.960147,757.532675,63251.821414,1.000000,24.624901,63.960147,757.532675,63251.821414,2.392615,643.623513,33846.655690,501.003422,1.000000,643.623513,26436.267341,0.268268,0.268268,14.325128,126.995470,189.198411,300.301488,69431.538494,1.000000,126.995470,189.198411,300.301488,69431.538494,2.626375,249.994503,36635.984428,317.351245,1.000000,249.994503,26436.267341,0.783835,0.783835,48.297061,1.417583,0.057567,0.556054,0.022581,0.000000,0.000000,62.622189,26.406000,36.216189,0.449122,-0.000000,-0.000000,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,27.384000,0.467219,152.901560,359.327353,251.713200,40297.860011,1,152.901560,359.327311,251.713200,40297.860011,4453.602305,5190.504329,99.410766,106.362794,8510758.507621,5.229816,-0.273423,2.521077,1.744624,57.678641,301.648670,0.882756,0.876722,24.543512,26.516232,338.120734,101594.008158,11.187015,13425.790030,12394.050499,95.898500,101.464219,0.827882,9943460.892271,24.543512,3.477874,727.954746,1136533.672805,1,0.467219,25.010731,4.899052,1390.981590,1136533.672805,3.778816,6110.664949,99.452989,0.872120,9943460.892272,25.010731,16.192766,1064.211427,300764.515904,4.640498,2317.430861,103.278895,0.871742,8510758.507648,25.010731,63.932973,770.382561,64812.982285,1.000000,25.010731,63.932973,770.382561,64812.982285,2.451669,654.998472,34699.417077,505.119212,1.000000,654.998472,26436.267341,0.268268,0.268268,14.850138,128.358048,189.195862,301.390891,70304.614468,1.000000,128.358048,189.195862,301.390891,70304.614468,2.659400,250.907022,37097.225275,317.924408,1.000000,250.907022,26436.267341,0.783835,0.783835,49.164583,1.474702,0.058963,0.578445,0.023128,0.000001,0.000000,64.014721,27.384000,36.630721,0.467219,0.000000,0.000000,
