Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,CO2,CO2_rel,H2O,H2O_rel,CO,CO_rel,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,4.897839,1496.006325,2573351.025000,3.773121,6144.274824,100.000000,0.873200,23396601.829888,54.592063,16.193125,1148.640827,682021.834557,4.435528,2243.857132,100.000000,0.868200,19538770.648995,54.592063,61.602329,844.941377,153763.399207,1.000000,54.592063,61.602329,844.941377,153763.399207,1.517527,760.138819,101325.000000,438.181145,0.809088,760.138819,101325.000000,0.268268,0.268268,23.921213,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,3.471969,0.063598,1.361667,0.024943,0.000005,0.000000,109.439772,109.439772,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,19.560000,0.321733,138.019086,324.352752,251.713200,40297.860011,1,138.019086,324.352657,251.713200,40297.860011,3971.285147,4628.382002,88.644758,94.843893,6392542.954689,5.527660,0.764060,2.215985,1.565464,49.688964,274.663694,0.857475,0.841456,21.143731,25.551296,326.847981,89299.472478,10.300873,12645.766172,11873.576526,90.326901,97.203345,0.853156,7668927.015575,21.143731,3.572219,677.866330,919862.488879,1,0.321733,21.465464,4.900291,1237.640448,919862.488879,3.798820,6101.789371,99.308536,0.871535,7668927.015313,21.465464,16.221777,939.831687,242144.259965,4.630069,2198.949936,97.998661,0.860117,6392542.954448,21.465464,63.786457,677.852594,52298.198256,1.000000,21.465464,63.786457,677.852594,52298.198256,1.978275,573.328966,27895.888783,477.204747,1.000000,573.328966,26436.267341,0.268268,0.268268,10.634991,116.875355,189.215941,292.755338,63084.829651,1.000000,116.875355,189.215941,292.755338,63084.829651,2.386299,243.674993,33283.660661,313.351806,1.000000,243.674993,26436.267341,0.783835,0.783835,41.990327,0.794316,0.037004,0.650289,0.030295,0.000000,0.000000,52.625317,19.560000,33.065317,0.321733,-0.000000,-0.000000,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,20.538000,0.335555,140.010053,329.031537,251.713200,40297.860011,1,140.010053,329.031541,251.713200,40297.860011,4038.168183,4706.331639,90.137683,96.441222,6649925.139964,5.468226,0.577999,2.249508,1.588415,50.868898,278.162642,0.861157,0.847779,21.645819,25.817682,328.103633,90650.374090,10.452674,12768.636086,11965.980809,91.204543,97.959815,0.852563,7953335.062723,21.645819,3.564879,683.472352,947538.848151,1,0.335555,21.981374,4.899569,1251.945603,947538.848151,3.797325,6125.775716,99.698921,0.872286,7953335.062716,21.981374,16.216626,951.119873,249527.978057,4.630803,2222.675624,99.056022,0.862706,6649925.139953,21.981374,63.764113,685.731823,53884.388906,1.000000,21.981374,63.764113,685.731823,53884.388906,2.038275,580.231993,28750.208678,479.957762,1.000000,580.231993,26436.267341,0.268268,0.268268,11.170887,118.364234,189.213389,293.859565,64009.707387,1.000000,118.364234,189.213389,293.859565,64009.707387,2.421284,244.599576,33772.136998,313.940272,1.000000,244.599576,26436.267341,0.783835,0.783835,42.909408,0.828442,0.037688,0.678224,0.030854,0.000000,0.000000,54.080294,20.538000,33.542294,0.335555,-0.000000,-0.000000,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,21.516000,0.349704,141.978012,333.656362,251.713200,40297.860011,1,141.978012,333.656357,251.713200,40297.860011,4103.641526,4782.638334,91.599141,98.004884,6908482.348435,5.415876,0.407021,2.284423,1.611320,52.004805,281.651552,0.864848,0.853860,22.129172,26.041894,329.395079,92057.344086,10.590062,12893.824500,12059.589179,92.098746,98.726142,0.850935,8239844.795411,22.129172,3.557262,689.287981,974892.955813,1,0.349704,22.478875,4.898839,1266.882683,974892.955813,3.795757,6149.260151,100.081138,0.873009,8239844.795410,22.478875,16.211417,962.931343,256837.571122,4.631006,2244.817640,100.042806,0.865017,6908482.348434,22.478875,63.740362,694.115538,55460.430339,1.000000,22.478875,63.740362,694.115538,55460.430339,2.097892,587.583978,29600.191069,482.868404,1.000000,587.583978,26436.267341,0.268268,0.268268,11.703117,119.848841,189.210883,294.942460,64932.731756,1.000000,119.848841,189.210883,294.942460,64932.731756,2.456199,245.506347,34259.640839,314.516285,1.000000,245.506347,26436.267341,0.783835,0.783835,43.826642,0.863373,0.038408,0.706818,0.031444,0.000000,0.000000,55.529760,21.516000,34.013760,0.349704,-0.000000,-0.000000,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.494000,0.364260,143.915336,338.209188,251.713200,40297.860011,1,143.915336,338.209177,251.713200,40297.860011,4167.862102,4857.484975,93.032636,99.538627,7169187.110770,5.369776,0.250237,2.321105,1.634100,53.095925,285.113252,0.868478,0.859488,22.593467,26.221590,330.743494,93535.575268,10.712116,13019.667929,12152.442212,92.997628,99.486286,0.848265,8529101.648269,22.593467,3.549311,695.363650,1001963.973078,1,0.364260,22.957727,4.898134,1282.605511,1001963.973078,3.794075,6171.101203,100.436608,0.873674,8529101.648264,22.957727,16.206243,975.404355,264086.486493,4.630632,2265.323906,100.956691,0.867075,7169187.110761,22.957727,63.714906,703.107176,57030.333067,1.000000,22.957727,63.714906,703.107176,57030.333067,2.157276,595.477084,30448.149163,485.969159,1.000000,595.477084,26436.267341,0.268268,0.268268,12.233006,121.321869,189.208403,296.011992,65850.734684,1.000000,121.321869,189.208403,296.011992,65850.734684,2.490924,246.401977,34744.503951,315.084142,1.000000,246.401977,26436.267341,0.783835,0.783835,44.738880,0.899311,0.039172,0.736235,0.032069,0.000000,0.000000,56.971886,22.494000,34.477886,0.364260,-0.000000,-0.000000,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,23.472000,0.379281,145.816467,342.676963,251.713200,40297.860011,1,145.816467,342.676942,251.713200,40297.860011,4230.728846,4930.753778,94.435912,101.040036,7432668.898330,5.328888,0.105647,2.359419,1.656686,54.144889,288.532053,0.871972,0.864481,23.039824,26.361171,332.147177,95079.534059,10.820506,13144.742230,12243.232678,93.891016,100.229545,0.844677,8821630.217321,23.039824,3.541012,701.699592,1028808.694803,1,0.379281,23.419105,4.897477,1299.148873,1028808.694803,3.792270,6190.588342,100.753767,0.874262,8821630.217316,23.419105,16.201207,988.576337,271290.958432,4.629656,2284.122533,101.794473,0.868896,7432668.898328,23.419105,63.687645,712.735495,58598.513109,1.000000,23.419105,63.687645,712.735495,58598.513109,2.216596,603.938359,31296.548236,489.265981,1.000000,603.938359,26436.267341,0.268268,0.268268,12.762028,122.776643,189.205931,297.076080,66760.894995,1.000000,122.776643,189.205931,297.076080,66760.894995,2.525353,247.293096,35225.241244,315.648079,1.000000,247.293096,26436.267341,0.783835,0.783835,45.643313,0.936396,0.039984,0.766590,0.032734,0.000000,0.000000,58.405341,23.472000,34.933341,0.379281,-0.000000,-0.000000,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.394867,147.673088,347.040148,251.713200,40297.860011,1,147.673088,347.040107,251.713200,40297.860011,4291.414041,5001.480068,95.790492,102.489346,7698899.351753,5.293284,-0.025015,2.398723,1.679027,55.144518,291.895589,0.875223,0.868689,23.465188,26.465066,333.585677,96663.397042,10.917935,13266.515783,12329.983409,94.760827,100.939732,0.840190,9117351.482476,23.465188,3.532182,708.318571,1055364.709298,1,0.394867,23.860054,4.896920,1316.720753,1055364.709298,3.790309,6206.108295,101.006359,0.874730,9117351.482442,23.860054,16.196545,1002.635631,278437.627920,4.627890,2300.584358,102.528112,0.870442,7698899.351724,23.860054,63.658086,723.168324,60165.128996,1.000000,23.860054,63.658086,723.168324,60165.128996,2.275856,613.117474,32145.754525,492.811462,1.000000,613.117474,26436.267341,0.268268,0.268268,13.290180,124.207900,189.203448,298.143010,67661.214612,1.000000,124.207900,189.203448,298.143010,67661.214612,2.559409,248.186643,35700.802253,316.212498,1.000000,248.186643,26436.267341,0.783835,0.783835,46.537953,0.974875,0.040858,0.798084,0.033449,0.000000,0.000000,59.828133,24.450000,35.378133,0.394867,-0.000000,-0.000000,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,25.428000,0.411103,149.479446,351.285241,251.713200,40297.860011,1,149.479446,351.285150,251.713200,40297.860011,4348.994446,5068.587843,97.075769,103.864505,7967497.358251,5.263396,-0.138661,2.438327,1.701115,56.085409,295.199742,0.878145,0.872068,23.865557,26.536982,335.037182,98259.341653,11.006561,13378.495974,12407.094794,95.560686,101.571006,0.834881,9414901.398661,23.865557,3.522649,715.207280,1081497.433874,1,0.411103,24.276660,4.896562,1335.490976,1081497.433874,3.788088,6214.355949,101.140592,0.874992,9414901.398575,24.276660,16.192505,1017.762540,285499.554380,4.625160,2314.061698,103.128745,0.871683,7967497.358249,24.276660,63.625754,734.565871,61727.496731,1.000000,24.276660,63.625754,734.565871,61727.496731,2.334955,623.158284,32994.635567,496.653684,1.000000,623.158284,26436.267341,0.268268,0.268268,13.816491,125.613889,189.200942,299.218095,68551.284031,1.000000,125.613889,189.200942,299.218095,68551.284031,2.593077,249.087069,36170.973412,316.780199,1.000000,249.087069,26436.267341,0.783835,0.783835,47.422391,1.014960,0.041808,0.830891,0.034226,0.000000,0.000000,61.238883,25.428000,35.810883,0.411103,-0.000000,-0.000000,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,26.406000,0.427978,151.238080,355.418140,251.713200,40297.860011,1,151.238080,355.418039,251.713200,40297.860011,4402.996707,5131.525427,98.281176,105.154210,8238032.582574,5.238655,-0.236052,2.477611,1.722967,56.970298,298.447741,0.880706,0.874692,24.242097,26.585329,336.480076,99842.422932,11.089305,13477.341441,12471.935792,96.266725,102.101829,0.828986,9713282.949381,24.242097,3.512485,722.292093,1107183.124159,1,0.427978,24.670075,4.896438,1355.326443,1107183.124159,3.785598,6214.291012,101.139535,0.875024,9713282.949353,24.670075,16.189183,1033.865991,292472.447429,4.621500,2324.478577,103.592985,0.872636,8238032.582581,24.670075,63.590818,746.856855,63285.183394,1.000000,24.670075,63.590818,746.856855,63285.183394,2.393877,634.001295,33842.993306,500.761647,1.000000,634.001295,26436.267341,0.268268,0.268268,14.340813,126.995983,189.198410,300.301895,69431.866099,1.000000,126.995983,189.198410,300.301895,69431.866099,2.626387,249.994844,36636.157496,317.351459,1.000000,249.994844,26436.267341,0.783835,0.783835,48.297386,1.056623,0.042830,0.864986,0.035062,0.000000,0.000000,62.638200,26.406000,36.232200,0.427978,0.000000,-0.000000,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,27.384000,0.445409,152.957599,359.459065,251.713200,40297.860011,1,152.957599,359.459007,251.713200,40297.860011,4453.599622,5190.501203,99.410706,106.362730,8510239.992248,5.217883,-0.320642,2.516312,1.744623,57.810511,301.648496,0.882925,0.876721,24.599626,26.618655,337.904073,101401.974523,11.168370,13563.741950,12525.414799,96.883871,102.539636,0.822784,10012191.614495,24.599626,3.501930,729.483918,1132494.743062,1,0.445409,25.045035,4.896515,1375.905951,1132494.743062,3.782913,6207.181668,101.023829,0.874861,10012191.614363,25.045035,16.186508,1050.674427,299371.094825,4.617115,2332.310688,103.942032,0.873358,8510239.992229,25.045035,63.553910,759.810113,64839.431891,1.000000,25.045035,63.553910,759.810113,64839.431891,2.452670,645.445453,34691.302065,505.052215,1.000000,645.445453,26436.267341,0.268268,0.268268,14.863610,128.357974,189.195862,301.390832,70304.567025,1.000000,128.357974,189.195862,301.390832,70304.567025,2.659398,250.906972,37097.200211,317.924377,1.000000,250.906972,26436.267341,0.783835,0.783835,49.164536,1.099658,0.043907,0.900201,0.035943,0.000000,0.000000,64.028146,27.384000,36.644146,0.445409,-0.000000,-0.000000,
