Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.100000,54.592063,4.917432,1507.999568,2573351.025000,3.642171,6119.793093,100.000000,0.873200,23396601.829888,54.592063,15.753555,1166.704760,706543.189208,4.201914,2226.418701,100.000000,0.868200,19538770.648995,54.592063,57.112085,868.491374,168147.940997,1.000000,54.592063,57.112085,868.491374,168147.940997,1.659491,764.044079,101325.000000,490.488614,0.896777,764.044079,101325.000000,0.244448,0.244448,26.776786,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,112.295345,112.295345,0.000000,1.100000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.005000,0.362966,140.481310,330.139686,251.713200,40297.860011,1,140.481310,330.139022,251.713200,40297.860011,4054.637753,4725.526297,90.505307,96.834555,6714621.265894,5.460026,0.552375,2.260070,1.594132,51.104907,279.034115,0.862062,0.849329,21.746246,25.832473,328.516170,91076.004465,10.595715,12791.871835,11980.226693,91.370513,98.076439,0.851417,8074052.959290,21.746245,3.526813,687.464190,965015.360270,1,0.362966,22.109211,4.920600,1294.623741,965015.360270,3.658726,6034.921536,98.613163,0.870344,8074052.919386,22.109211,15.772736,993.714643,263757.210652,4.288536,2183.386029,98.067180,0.862331,6714621.235118,22.109211,57.998504,730.572066,61502.855593,1.000000,22.109211,57.998504,730.572066,61502.855593,2.326458,619.571327,32866.906694,495.262268,1.000000,619.571327,26436.267341,0.244448,0.244448,12.521816,118.735064,189.212761,294.131122,64240.122208,1.000000,118.735064,189.212761,294.131122,64240.122208,2.430000,244.826962,33893.831874,314.084819,1.000000,244.826962,26436.267341,0.783835,0.783835,43.138378,55.660194,22.005000,33.655194,0.362966,-0.000031,-0.000040,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.494000,0.370417,141.443528,332.400288,251.713200,40297.860011,1,141.443528,332.400289,251.713200,40297.860011,4086.741924,4762.942489,91.221918,97.601281,6841430.600056,5.435048,0.471171,2.277432,1.605368,51.654673,280.745616,0.863867,0.852314,21.980183,25.936718,329.160368,91775.625402,10.662072,12848.917293,12021.871346,91.777981,98.417364,0.850486,8215026.744813,21.980183,3.522984,690.370105,978518.319130,1,0.370417,22.350600,4.920328,1302.366258,978518.319130,3.657919,6043.788773,98.758057,0.870638,8215026.744815,22.350600,15.770466,999.921162,267506.818072,4.288358,2193.833405,98.536426,0.863442,6841430.600055,22.350600,57.986676,735.107966,62379.780043,1.000000,22.350600,57.986676,735.107966,62379.780043,2.359629,623.569256,33341.246941,496.787199,1.000000,623.569256,26436.267341,0.244448,0.244448,12.791402,119.463345,189.211532,294.662212,64692.895757,1.000000,119.463345,189.211532,294.662212,64692.895757,2.447127,245.271675,34132.968321,314.367318,1.000000,245.271675,26436.267341,0.783835,0.783835,43.588311,56.379713,22.494000,33.885713,0.370417,-0.000000,0.000000,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,22.983000,0.377980,142.398021,334.643399,251.713200,40297.860011,1,142.398021,334.643402,251.713200,40297.860011,4118.526593,4799.986314,91.931397,98.360375,6968690.727811,5.411793,0.394095,2.295247,1.616578,52.191856,282.451546,0.865660,0.855202,22.208766,26.029060,329.819400,92493.525649,10.724297,12904.935786,12062.214889,92.178113,98.747638,0.849289,8356363.487532,22.208766,3.519043,693.339625,991928.049748,1,0.377980,22.586746,4.920078,1310.334938,991928.049748,3.657056,6051.652743,98.886558,0.870899,8356363.487532,22.586746,15.768202,1006.327620,271236.733051,4.288038,2203.847251,98.986199,0.864486,6968690.727811,22.586746,57.974382,739.826736,63254.271493,1.000000,22.586746,57.974382,739.826736,63254.271493,2.392708,627.730525,33814.695697,498.368214,1.000000,627.730525,26436.267341,0.244448,0.244448,13.060160,120.189255,189.210310,295.189634,65144.641391,1.000000,120.189255,189.210310,295.189634,65144.641391,2.464215,245.713327,34371.564317,314.647612,1.000000,245.713327,26436.267341,0.783835,0.783835,44.037222,57.097382,22.983000,34.114382,0.377980,-0.000000,-0.000000,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,23.472000,0.385655,143.344645,336.868020,251.713200,40297.860011,1,143.344645,336.868022,251.713200,40297.860011,4150.043289,4836.717826,92.634895,99.113070,7096535.558893,5.390027,0.320563,2.313537,1.627755,52.717774,284.150248,0.867434,0.857972,22.432556,26.110167,330.494498,93230.607938,10.782509,12959.668571,12100.995238,92.569061,99.065114,0.847859,8498105.463195,22.432556,3.515011,696.366806,1005259.875207,1,0.385655,22.818211,4.919850,1318.507772,1005259.875207,3.656138,6058.454631,98.997704,0.871126,8498105.463195,22.818211,15.765944,1012.916862,274951.323260,4.287595,2213.477126,99.418727,0.865470,7096535.558893,22.818211,57.961662,744.711384,64127.167487,1.000000,22.818211,57.961662,744.711384,64127.167487,2.425727,632.040414,34287.690928,499.999087,1.000000,632.040414,26436.267341,0.244448,0.244448,13.328351,120.912090,189.209094,295.714252,65595.062520,1.000000,120.912090,189.209094,295.714252,65595.062520,2.481253,246.152644,34609.463740,314.926164,1.000000,246.152644,26436.267341,0.783835,0.783835,44.484814,57.813165,23.472000,34.341165,0.385655,-0.000000,0.000000,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,23.961000,0.393445,144.283013,339.073237,251.713200,40297.860011,1,144.283013,339.073238,251.713200,40297.860011,4181.280574,4873.123695,93.332156,99.859092,7225039.233871,5.369554,0.250086,2.332265,1.638891,53.233433,285.839805,0.869180,0.860602,22.651980,26.181136,331.184357,93985.291119,10.837089,13013.025481,12138.155146,92.950182,99.369325,0.846224,8640325.110933,22.651980,3.510898,699.446773,1018526.972103,1,0.393445,23.045425,4.919647,1326.871621,1018526.972103,3.655165,6064.194741,99.091499,0.871320,8640325.110933,23.045425,15.763698,1019.678386,278654.146657,4.287034,2222.731559,99.834391,0.866399,7225039.233871,23.045425,57.948537,749.752703,64999.281804,1.000000,23.045425,57.948537,749.752703,64999.281804,2.458716,636.491039,34760.666841,501.676244,1.000000,636.491039,26436.267341,0.244448,0.244448,13.596226,121.631033,189.207881,296.237017,66043.812759,1.000000,121.631033,189.207881,296.237017,66043.812759,2.498228,246.590420,34846.484238,315.203484,1.000000,246.590420,26436.267341,0.783835,0.783835,44.930744,58.526970,23.961000,34.565970,0.393445,-0.000000,0.000000,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.450000,0.401355,145.212601,341.257821,251.713200,40297.860011,1,145.212601,341.257823,251.713200,40297.860011,4212.174118,4909.128948,94.021744,100.596905,7354238.101251,5.350236,0.182343,2.351347,1.649978,53.739393,287.518430,0.870887,0.863070,22.867276,26.243239,331.886021,94754.269051,10.888564,13065.051096,12173.793878,93.321794,99.661082,0.844408,8783102.594751,22.867276,3.506704,702.576394,1031737.898640,1,0.401355,23.268631,4.919467,1335.422375,1031737.898640,3.654145,6068.915634,99.168641,0.871483,8783102.594750,23.268631,15.761479,1026.608311,282347.255041,4.286354,2231.584002,100.232000,0.867273,7354238.101251,23.268631,57.935014,754.947971,65871.193652,1.000000,23.268631,57.935014,754.947971,65871.193652,2.491698,641.080239,35233.940472,503.398292,1.000000,641.080239,26436.267341,0.244448,0.244448,13.863964,122.345324,189.206668,296.758979,66490.587846,1.000000,122.345324,189.206668,296.758979,66490.587846,2.515128,247.027536,35082.465746,315.480132,1.000000,247.027536,26436.267341,0.783835,0.783835,45.374708,59.238672,24.450000,34.788672,0.401355,-0.000000,-0.000000,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,24.939000,0.409391,146.132774,343.420283,251.713200,40297.860011,1,146.132774,343.420282,251.713200,40297.860011,4242.619611,4944.612013,94.701331,101.324017,7484128.058581,5.331990,0.117188,2.370674,1.661009,54.235758,289.184525,0.872543,0.865356,23.078491,26.297775,332.595521,95533.105677,10.937534,13115.899162,12208.131065,93.684994,99.942184,0.842426,8926524.675241,23.078491,3.502421,705.754830,1044896.571934,1,0.409391,23.487882,4.919310,1344.165427,1044896.571934,3.653086,6072.688725,99.230295,0.871616,8926524.675241,23.487882,15.759306,1033.710068,286031.230390,4.285544,2239.979449,100.609083,0.868091,7484128.058581,23.487882,57.921077,760.301587,66743.269089,1.000000,23.487882,57.921077,760.301587,66743.269089,2.524686,645.812136,35707.724470,505.166190,1.000000,645.812136,26436.267341,0.244448,0.244448,14.131675,123.054284,189.205454,297.281154,66935.124234,1.000000,123.054284,189.205454,297.281154,66935.124234,2.531943,247.464840,35317.269672,315.756645,1.000000,247.464840,26436.267341,0.783835,0.783835,45.816444,59.948119,24.939000,35.009119,0.409391,-0.000000,0.000000,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,25.428000,0.417563,147.042891,345.559111,251.713200,40297.860011,1,147.042891,345.559108,251.713200,40297.860011,4272.494030,4979.429513,95.368170,102.037490,7614674.738637,5.314784,0.054643,2.390128,1.671980,54.722239,290.836869,0.874136,0.867447,23.285499,26.345897,333.308688,96317.050744,10.984578,13165.753433,12241.417566,94.041096,100.214685,0.840284,9070664.866331,23.285499,3.498036,708.983060,1058002.148615,1,0.417563,23.703062,4.919175,1353.113074,1058002.148615,3.651995,6075.583363,99.277594,0.871722,9070664.866331,23.703062,15.757205,1040.992726,289705.280214,4.284590,2247.847939,100.962498,0.868846,7614674.738637,23.703062,57.906702,765.823107,67615.638182,1.000000,23.703062,57.906702,765.823107,67615.638182,2.557685,650.695433,36182.112846,506.982561,1.000000,650.695433,26436.267341,0.244448,0.244448,14.399393,123.757392,189.204237,297.804419,67377.231312,1.000000,123.757392,189.204237,297.804419,67377.231312,2.548667,247.903070,35550.795853,316.033490,1.000000,247.903070,26436.267341,0.783835,0.783835,46.255763,60.655156,25.428000,35.227156,0.417563,0.000000,-0.000000,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,25.917000,0.425879,147.942340,347.672871,251.713200,40297.860011,1,147.942340,347.672865,251.713200,40297.860011,4301.678191,5013.442545,96.019602,102.734478,7745827.862911,5.298642,-0.005062,2.409609,1.682889,55.198066,292.474800,0.875657,0.869336,23.487973,26.388331,334.022212,97102.094292,11.030111,13214.565205,12273.672091,94.389751,100.478738,0.837984,9215537.769687,23.487973,3.493532,712.263627,1071046.887462,1,0.425879,23.913852,4.919063,1362.284998,1071046.887462,3.650876,6077.545281,99.309653,0.871801,9215537.769687,23.913852,15.755204,1048.472626,293367.061723,4.283473,2255.114936,101.288897,0.869536,7745827.862911,23.913852,57.891848,771.528010,68488.125054,1.000000,23.913852,57.891848,771.528010,68488.125054,2.590688,655.744091,36657.045025,508.851907,1.000000,655.744091,26436.267341,0.244448,0.244448,14.667060,124.454367,189.203014,298.329430,67816.822781,1.000000,124.454367,189.203014,298.329430,67816.822781,2.565295,248.342773,35782.999062,316.311012,1.000000,248.342773,26436.267341,0.783835,0.783835,46.692578,61.359638,25.917000,35.442638,0.425879,0.000000,0.000000,
