Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_setpoint,Control_input,W1,T1,P1,Wc1,PR_Inlet,W2,T2,P2,Wc2,N1,Nc2,N1%,Nc2%,PW_Fan_Bst,BPR_Fan_Bst,crossflow_Fan_Bst,PR_core_Fan_Bst,PR_duct_Fan_Bst,Wc_core_Fan_Bst,Wc_duct_Fan_Bst,Eta_is_core_Fan_Bst,Eta_is_duct_Fan_Bst,W25,T25,P25,Wc25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,T3,P3,Wc3,PR_combustor,Wf_combustor,W4,T4,P4,Wc4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,T45,P45,Wc45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,T5,P5,Wc5,PR_Exhduct_hot,W7,T7,P7,Wc7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,T21,P21,Wc21,PR_Exhduct_cold,W23,T23,P23,Wc23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,WF,FG,FN,RD,PW1,PW2,PW,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,288.150000,101325.000000,337.000000,1,337.000000,288.150000,101325.000000,337.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,378.507076,236087.250000,26.312440,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,795.081191,2573351.025000,3.498673,1,1.106929,54.598992,1499.999994,2573351.025000,4.904994,3.756227,6136.089972,100.000000,0.873200,23396601.829888,54.598992,1152.920901,685089.322124,16.152676,4.403844,2239.688240,100.000000,0.868200,19538770.648995,54.598992,849.562857,155566.207021,61.062478,1.000000,54.598992,849.562857,155566.207021,61.062478,1.535319,762.120155,101325.000000,445.165700,0.821009,762.120155,101325.000000,0.264781,0.264781,24.305599,283.507937,339.640549,167186.250000,186.544192,1.000000,283.507937,339.640549,167186.250000,186.544192,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,1.106929,109.824158,109.824158,0.000000,0.000000,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1600.000000,1600.000000,168.728587,251.713200,40297.860011,396.521720,1,168.728587,251.713200,40297.860011,396.521720,4886.576282,5695.119054,109.075363,116.703259,11226858.907552,5.092338,-0.912895,2.877855,1.949414,65.085310,331.436410,0.893809,0.885932,27.695210,351.149579,115971.406193,26.712044,11.895306,14052.799507,12729.932063,100.377139,104.213922,0.774954,12872960.302914,27.695210,794.871018,1379515.341861,3.378577,1,0.664467,28.359677,1600.000000,1379515.341861,4.908424,3.736579,5963.650323,97.189747,0.868159,12872960.302913,28.359677,1238.107959,369192.097027,16.133754,4.545989,2357.407913,105.256074,0.876191,11226858.907552,28.359677,908.203269,81212.714441,62.816840,1.000000,28.359677,908.203269,81212.714441,62.816840,3.072019,777.932795,43718.559727,547.023965,1.000000,777.932795,26436.267341,0.264781,0.264781,20.089437,141.033377,311.620425,78557.208516,189.171680,1.000000,141.033377,311.620425,78557.208516,189.171680,2.971570,259.478124,41457.708827,323.256107,1.000000,259.478124,26436.267341,0.783835,0.783835,57.364225,0.664467,77.453662,37.031250,40.422411,0.000000,-0.000000,-0.000000,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1550.000000,1550.000000,164.945699,251.713200,40297.860011,387.631720,1,164.945699,251.713200,40297.860011,387.631720,4782.125534,5573.385675,106.743874,114.208723,10537143.672800,5.117262,-0.782119,2.792479,1.899457,63.366867,324.264853,0.892571,0.885521,26.963976,348.031016,112530.939505,26.682607,11.734792,13914.671693,12661.154282,99.390512,103.650871,0.786972,12142632.669799,26.963976,778.764541,1320527.175551,3.401316,1,0.614279,27.578254,1550.000000,1320527.175551,4.907865,3.742501,5999.518913,97.774298,0.869237,12142632.669799,27.578254,1196.509616,352846.191147,16.137889,4.555159,2346.778971,104.781502,0.875262,10537143.672799,27.578254,875.563230,77460.791857,62.883383,1.000000,27.578254,875.563230,77460.791857,62.883383,2.930096,748.675283,41644.202469,537.445374,1.000000,748.675283,26436.267341,0.264781,0.264781,18.848570,137.981724,309.104221,76544.054602,189.177670,1.000000,137.981724,309.104221,76544.054602,189.177670,2.895418,257.369425,40393.871066,321.952962,1.000000,257.369425,26436.267341,0.783835,0.783835,55.364076,0.614279,74.212646,34.696504,39.516143,-0.000000,0.000000,-0.000000,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1500.000000,1500.000000,160.999714,251.713200,40297.860011,378.358431,1,160.999714,251.713200,40297.860011,378.358431,4675.279281,5448.860425,104.358913,111.656976,9851728.794614,5.148783,-0.628488,2.702438,1.848229,61.533875,316.824556,0.890306,0.883296,26.183998,344.752808,108902.461877,26.647684,11.571483,13771.141722,12589.989094,98.365298,103.068275,0.799370,11412070.461151,26.183998,762.446007,1260162.999078,3.424689,1,0.565427,26.749424,1500.000000,1260162.999078,4.907278,3.748633,6035.783176,98.365298,0.870289,11412070.461151,26.749424,1155.027881,336166.051709,16.142252,4.564457,2335.181476,104.263684,0.874218,9851728.794614,26.749424,843.111264,73648.636614,62.950542,1.000000,26.749424,843.111264,73648.636614,62.950542,2.785894,719.665838,39543.183891,527.719090,1.000000,719.665838,26436.267341,0.264781,0.264781,17.586638,134.815716,306.582163,74479.658206,189.183646,1.000000,134.815716,306.582163,74479.658206,189.183646,2.817329,255.256101,39303.068579,320.641385,1.000000,255.256101,26436.267341,0.783835,0.783835,53.312941,0.565427,70.899579,32.328778,38.570801,-0.000000,-0.000000,-0.000000,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1450.000000,1450.000000,157.076015,251.713200,40297.860011,369.137518,1,157.076015,251.713200,40297.860011,369.137518,4569.553416,5325.640945,101.998960,109.131987,9190785.305575,5.184063,-0.467433,2.613702,1.797713,59.691750,309.445768,0.887174,0.880440,25.400134,341.511826,105326.600860,26.601621,11.399421,13619.070092,12509.901595,97.279072,102.412637,0.812469,10701545.154573,25.400134,746.068738,1200662.224038,3.449148,1,0.518827,25.918961,1450.000000,1200662.224038,4.906683,3.754815,6071.175201,98.942082,0.871284,10701545.154573,25.918961,1113.685892,319766.038959,16.146333,4.574184,2324.350999,103.780114,0.873192,9190785.305575,25.918961,810.805043,69906.687804,63.017966,1.000000,25.918961,810.805043,69906.687804,63.017966,2.644348,690.875129,37485.701710,517.823371,1.000000,690.875129,26436.267341,0.264781,0.264781,16.347119,131.675882,304.069027,72444.001236,189.189574,1.000000,131.675882,304.069027,72444.001236,189.189574,2.740326,253.150531,38227.516954,319.329006,1.000000,253.150531,26436.267341,0.783835,0.783835,51.290317,0.518827,67.637435,30.006638,37.630798,-0.000000,-0.000000,-0.000000,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1400.000000,1400.000000,153.120406,251.713200,40297.860011,359.841613,1,153.120406,251.713200,40297.860011,359.841613,4459.761000,5197.682055,99.548237,106.509878,8545034.144037,5.226339,-0.287538,2.525492,1.747334,57.793446,302.048167,0.883027,0.876946,24.592364,338.279521,101771.920734,26.528791,11.212128,13445.027802,12408.896533,96.035913,101.585756,0.826171,10001172.350534,24.592364,729.530593,1141079.813437,3.474668,1,0.474126,25.066490,1400.000000,1141079.813437,4.906240,3.760980,6099.679255,99.406614,0.872049,10001172.350534,25.066490,1072.556981,303399.571676,16.150875,4.583792,2311.589486,103.210324,0.871963,8545034.144037,25.066490,778.806185,66189.643075,63.084909,1.000000,25.066490,778.806185,66189.643075,63.084909,2.503744,662.453259,35447.698209,507.799505,1.000000,662.453259,26436.267341,0.264781,0.264781,15.114802,128.528042,301.527740,70413.824206,189.195541,1.000000,128.528042,301.527740,70413.824206,189.195541,2.663531,251.021654,37154.921454,317.996334,1.000000,251.021654,26436.267341,0.783835,0.783835,49.273097,0.474126,64.387900,27.704750,36.683150,0.000000,-0.000000,-0.000000,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1350.000000,1350.000000,148.761312,251.713200,40297.860011,349.597494,1,148.761312,251.713200,40297.860011,349.597494,4328.656291,5044.884495,96.621792,103.378781,7871012.122256,5.289861,-0.038065,2.430079,1.693188,55.581120,294.016375,0.876968,0.870943,23.650971,334.790942,97926.974846,26.377935,10.992105,13219.365120,12264.025937,94.424037,100.399769,0.839494,9265368.456204,23.650971,712.428299,1076423.568378,3.500609,1,0.429611,24.080582,1350.000000,1076423.568378,4.906344,3.767102,6107.353044,99.531674,0.872183,9265368.456204,24.080582,1031.794147,285743.151091,16.158274,4.591391,2287.525188,102.135875,0.869688,7871012.122256,24.080582,747.587110,62234.545815,63.150044,1.000000,24.080582,747.587110,62234.545815,63.150044,2.354135,634.820615,33289.062440,497.793942,1.000000,634.820615,26436.267341,0.264781,0.264781,13.801654,125.110341,298.829803,68231.840739,189.201848,1.000000,125.110341,298.829803,68231.840739,189.201848,2.580994,248.761853,36002.227481,316.575280,1.000000,248.761853,26436.267341,0.783835,0.783835,47.104971,0.429611,60.906625,25.267786,35.638839,0.000000,-0.000000,0.000000,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1300.000000,1300.000000,143.380349,251.713200,40297.860011,336.951929,1,143.380349,251.713200,40297.860011,336.951929,4152.847006,4839.985451,92.697478,99.180030,7108538.173206,5.399812,0.354950,2.319335,1.628753,52.650282,284.301647,0.867524,0.858213,22.403836,330.749753,93464.248040,26.021596,10.692268,12917.892769,12057.332088,92.270663,98.707665,0.849801,8433383.341616,22.403836,694.364566,999344.766764,3.526210,1,0.382925,22.786761,1300.000000,999344.766764,4.907341,3.773251,6081.760463,99.114591,0.871307,8433383.341616,22.786761,991.516926,264849.795121,16.171128,4.594206,2238.747828,99.958011,0.864885,7108538.173206,22.786761,717.786747,57648.648630,63.211847,1.000000,22.786761,717.786747,57648.648630,63.211847,2.180665,608.535389,30800.886085,488.022822,1.000000,608.535389,26436.267341,0.264781,0.264781,12.276125,120.976513,295.761033,65635.241076,189.208985,1.000000,120.976513,295.761033,65635.241076,189.208985,2.482773,246.191819,34630.685057,314.950991,1.000000,246.191819,26436.267341,0.783835,0.783835,44.524740,0.382925,56.800865,22.451147,34.349719,0.000000,-0.000000,0.000000,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1250.000000,1250.000000,136.776305,251.713200,40297.860011,321.432050,1,136.776305,251.713200,40297.860011,321.432050,3932.339069,4582.991827,87.775426,93.913767,6244894.514075,5.587086,0.946214,2.204670,1.552146,48.797305,272.634745,0.855334,0.837793,20.764311,326.495853,88843.466610,25.207987,10.208365,12533.478200,11774.489518,89.524844,96.392166,0.852753,7487435.989082,20.764311,675.555084,906946.510518,3.552005,1,0.333371,21.097682,1250.000000,906946.510518,4.909253,3.778636,6017.636017,98.069553,0.869183,7487435.989082,21.097682,951.804156,240019.570265,16.187105,4.591642,2163.647323,96.604844,0.856581,6244894.514075,21.097682,689.706498,52273.145546,63.269669,1.000000,21.097682,689.706498,52273.145546,63.269669,1.977327,583.849600,27899.251182,478.607930,1.000000,583.849600,26436.267341,0.264781,0.264781,10.484887,116.011994,292.099792,62548.172023,189.217453,1.000000,116.011994,292.099792,62548.172023,189.217453,2.365999,243.126120,33000.224044,313.001921,1.000000,243.126120,26436.267341,0.783835,0.783835,41.457033,0.333371,51.941920,19.174337,32.767583,0.000000,0.000000,0.000000,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,1200.000000,1200.000000,130.711890,251.713200,40297.860011,307.180334,1,130.711890,251.713200,40297.860011,307.180334,3741.528539,4360.609402,83.516262,89.356750,5470260.515667,5.800839,1.527955,2.117533,1.482204,45.168002,262.012331,0.845593,0.819494,19.219964,323.083262,85332.037175,24.166012,9.625978,12152.785270,11476.987450,86.805609,93.956658,0.852780,6625951.040022,19.219964,657.452300,821404.302334,3.581253,1,0.288595,19.508559,1200.000000,821404.302334,4.910957,3.782714,5955.174794,97.051621,0.866995,6625951.040022,19.508559,912.198916,217146.816594,16.196598,4.584679,2102.875680,93.891446,0.848849,5470260.515667,19.508559,661.599694,47363.578606,63.239092,1.000000,19.508559,661.599694,47363.578606,63.239092,1.791614,566.184658,26436.267341,452.920257,0.960082,566.184658,26436.267341,0.264781,0.264781,8.835821,111.491926,288.429596,59729.664310,189.225890,1.000000,111.491926,288.429596,59729.664310,189.225890,2.259383,240.053483,31511.613722,311.035649,1.000000,240.053483,26436.267341,0.783835,0.783835,38.656195,0.288595,47.492017,16.177289,31.314728,-0.000000,0.000000,-0.000000,
