Point/Time,Mode,Alt,Tsa,Psa,Tta,Pta,Macha,Control_input_Control,Control_output_Control,W0,Wc0,T0,P0,PR_Inlet1,W2,Wc2,T2,P2,N1,Nc2,N1%,Nc2%,PW_FAN_BST,BPR_FAN_BST,crossflow_FAN_BST,PR_core_FAN_BST,PR_duct_FAN_BST,Wc_core_FAN_BST,Wc_duct_FAN_BST,Eta_is_core_FAN_BST,Eta_is_duct_FAN_BST,W25,Wc25,T25,P25,PR_HPC,N2,Nc25,N2%,Nc25%,Eta_is_HPC,PW_HPC,W3,Wc3,T3,P3,PR_combustor1,Wf_combustor1,W4,Wc4,T4,P4,PR_HPT,Nc4,Nc4%,Eta_is_HPT,PW_HPT,W45,Wc45,T45,P45,PR_LPT,Nc45,Nc45%,Eta_is_LPT,PW_LPT,W5,Wc5,T5,P5,PR_Exhduct_hot,W7,Wc7,T7,P7,PR_HotNozzle,T8,P8,V8,Mach8,T9,P9,A8,A8_geom,FG_HotNozzle,W21,Wc21,T21,P21,PR_Exhduct_cold,W23,Wc23,T23,P23,PR_ColdNozzle,T18,P18,V18,Mach18,T19,P19,A18,A18_geom,FG_ColdNozzle,FG,FN,RD,WF,PW1,PW2,Comment
0,DP,0,288.150000,101325.000000,288.150000,101325.000000,0.000000,,,337.000000,337.000000,288.150000,101325.000000,1,337.000000,337.000000,288.150000,101325.000000,4480.000000,4880.000000,100.000000,100.000000,19538770.648995,5.300000,0.000000,2.330000,1.650000,53.492063,283.507937,0.869600,0.860600,53.492063,26.312440,378.507076,236087.250000,10.900000,14000.000000,12215.193367,100.000000,100.000000,0.843300,23396601.829888,53.492063,3.498673,795.081191,2573351.025000,1,1.106929,54.598992,4.904995,1500.000000,2573351.025000,3.756227,6136.089960,100.000000,0.873200,23396601.829888,54.598992,16.152676,1152.920908,685089.326700,4.403844,2239.688234,100.000000,0.868200,19538770.648995,54.598992,61.062477,849.562864,155566.209717,1.000000,54.598992,61.062477,849.562864,155566.209717,1.535319,762.120158,101325.000000,445.165711,0.821009,762.120158,101325.000000,0.264781,0.264781,24.305599,283.507937,186.544192,339.640549,167186.250000,1.000000,283.507937,186.544192,339.640549,167186.250000,1.650000,294.386009,101325.000000,301.644323,0.876681,294.386009,101325.000000,0.783835,0.783835,85.518559,109.824159,109.824159,0.000000,1.106929,0.000000,0.000000,
0,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1600,168.728586,396.521712,251.713200,40297.860011,1,168.728586,396.521718,251.713200,40297.860011,4886.576259,5695.119027,109.075363,116.703259,11226858.752924,5.092338,-0.912895,2.877855,1.949414,65.085309,331.436409,0.893809,0.885932,27.695210,26.712044,351.149579,115971.405447,11.895306,14052.799485,12729.932056,100.377139,104.213922,0.774954,12872960.178555,27.695210,3.378577,794.871015,1379515.331271,1,0.664467,28.359677,4.908424,1600.000000,1379515.331271,3.736579,5963.650314,97.189747,0.868159,12872960.178556,28.359677,16.133754,1238.107961,369192.096621,4.545989,2357.407900,105.256074,0.876191,11226858.752922,28.359677,62.816838,908.203273,81212.715762,1.000000,28.359677,62.816838,908.203273,81212.715762,3.072019,777.932799,43718.560445,547.023966,1.000000,777.932799,26436.267341,0.264781,0.264781,20.089437,141.033376,189.171680,311.620424,78557.208074,1.000000,141.033376,189.171680,311.620424,78557.208074,2.971570,259.478123,41457.708593,323.256106,1.000000,259.478123,26436.267341,0.783835,0.783835,57.364224,77.453661,37.031250,40.422411,0.664467,-0.000000,0.000000,
1,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1550,164.945699,387.631712,251.713200,40297.860011,1,164.945699,387.631718,251.713200,40297.860011,4782.125511,5573.385648,106.743873,114.208722,10537143.522448,5.117262,-0.782118,2.792479,1.899457,63.366867,324.264852,0.892571,0.885521,26.963975,26.682607,348.031016,112530.938719,11.734792,13914.671671,12661.154275,99.390512,103.650871,0.786972,12142632.546359,26.963975,3.401316,778.764538,1320527.164744,1,0.614279,27.578254,4.907865,1550.000000,1320527.164744,3.742501,5999.518904,97.774298,0.869237,12142632.546351,27.578254,16.137889,1196.509617,352846.190580,4.555159,2346.778958,104.781501,0.875262,10537143.522450,27.578254,62.883382,875.563235,77460.793080,1.000000,27.578254,62.883382,875.563235,77460.793080,2.930096,748.675287,41644.203133,537.445375,1.000000,748.675287,26436.267341,0.264781,0.264781,18.848570,137.981723,189.177670,309.104221,76544.054155,1.000000,137.981723,189.177670,309.104221,76544.054155,2.895418,257.369424,40393.870830,321.952961,1.000000,257.369424,26436.267341,0.783835,0.783835,55.364076,74.212646,34.696503,39.516142,0.614279,0.000000,-0.000000,
2,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1500,160.999713,378.359059,251.713200,40297.860011,1,160.999713,378.358429,251.713200,40297.860011,4675.279257,5448.860398,104.358912,111.656975,9851728.650030,5.148783,-0.628488,2.702438,1.848229,61.533875,316.824555,0.890306,0.883296,26.183998,26.647684,344.752807,108902.461037,11.571483,13771.141709,12589.989096,98.365298,103.068275,0.799370,11412070.362467,26.183998,3.424689,762.446005,1260162.988851,1,0.565427,26.749424,4.907278,1500.000000,1260162.988851,3.748633,6035.783170,98.365298,0.870289,11412070.341196,26.749424,16.142252,1155.027882,336166.051195,4.564457,2335.181463,104.263684,0.874218,9851728.648718,26.749424,62.950541,843.111269,73648.637785,1.000000,26.749424,62.950541,843.111269,73648.637785,2.785894,719.665842,39543.184526,527.719091,1.000000,719.665842,26436.267341,0.264781,0.264781,17.586638,134.815716,189.183646,306.582163,74479.657752,1.000000,134.815716,189.183646,306.582163,74479.657752,2.817329,255.256100,39303.068339,320.641385,1.000000,255.256100,26436.267341,0.783835,0.783835,53.312940,70.899578,32.328778,38.570800,0.565427,-0.000001,-0.000021,
3,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1450,157.076038,369.138945,251.713200,40297.860011,1,157.076038,369.137570,251.713200,40297.860011,4569.554018,5325.641647,101.998974,109.132001,9190788.991372,5.184062,-0.467434,2.613703,1.797714,59.691761,309.445810,0.887174,0.880440,25.400138,26.601622,341.511844,105326.620886,11.399422,13619.071021,12509.902115,97.279079,102.412641,0.812469,10701549.184094,25.400138,3.449148,746.068833,1200662.561292,1,0.518827,25.918965,4.906683,1450.000000,1200662.561292,3.754815,6071.175615,98.942089,0.871284,10701547.058367,25.918965,16.146333,1113.685889,319766.133955,4.574184,2324.351308,103.780128,0.873192,9190787.008616,25.918965,63.017956,810.805035,69906.710666,1.000000,25.918965,63.017956,810.805035,69906.710666,2.644349,690.875121,37485.713939,517.823369,1.000000,690.875121,26436.267341,0.264781,0.264781,16.347124,131.675900,189.189574,304.069041,72444.012706,1.000000,131.675900,189.189574,304.069041,72444.012706,2.740327,253.150543,38227.523014,319.329014,1.000000,253.150543,26436.267341,0.783835,0.783835,51.290328,67.637452,30.006649,37.630803,0.518827,-0.001983,-0.002126,
4,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1400,153.120406,359.848276,251.713200,40297.860011,1,153.120406,359.841613,251.713200,40297.860011,4459.761001,5197.682056,99.548237,106.509878,8545034.141287,5.226339,-0.287538,2.525492,1.747334,57.793446,302.048167,0.883027,0.876946,24.592364,26.528791,338.279520,101771.920352,11.212128,13445.027849,12408.896584,96.035913,101.585756,0.826171,10001172.417651,24.592364,3.474668,729.530593,1141079.808977,1,0.474126,25.066490,4.906240,1400.000000,1141079.808977,3.760980,6099.679277,99.406614,0.872049,10001172.307329,25.066490,16.150875,1072.556982,303399.572445,4.583792,2311.589485,103.210324,0.871963,8545034.072399,25.066490,63.084908,778.806188,66189.644361,1.000000,25.066490,63.084908,778.806188,66189.644361,2.503744,662.453262,35447.698901,507.799506,1.000000,662.453262,26436.267341,0.264781,0.264781,15.114803,128.528042,189.195541,301.527740,70413.824215,1.000000,128.528042,189.195541,301.527740,70413.824215,2.663531,251.021654,37154.921459,317.996334,1.000000,251.021654,26436.267341,0.783835,0.783835,49.273097,64.387900,27.704750,36.683150,0.474126,-0.000069,-0.000110,
5,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1350,148.761311,349.597510,251.713200,40297.860011,1,148.761311,349.597492,251.713200,40297.860011,4328.656264,5044.884465,96.621792,103.378780,7871011.998715,5.289861,-0.038065,2.430079,1.693188,55.581119,294.016373,0.876968,0.870943,23.650971,26.377935,334.790941,97926.974088,10.992105,13219.365091,12264.025923,94.424036,100.399769,0.839494,9265368.348914,23.650971,3.500609,712.428297,1076423.558137,1,0.429611,24.080582,4.906344,1350.000000,1076423.558137,3.767102,6107.353031,99.531674,0.872183,9265368.348925,24.080582,16.158274,1031.794149,285743.150256,4.591391,2287.525172,102.135875,0.869688,7871011.998678,24.080582,63.150042,747.587113,62234.546726,1.000000,24.080582,63.150042,747.587113,62234.546726,2.354135,634.820619,33289.062931,497.793943,1.000000,634.820619,26436.267341,0.264781,0.264781,13.801654,125.110340,189.201848,298.829802,68231.840331,1.000000,125.110340,189.201848,298.829802,68231.840331,2.580994,248.761853,36002.227265,316.575280,1.000000,248.761853,26436.267341,0.783835,0.783835,47.104970,60.906625,25.267786,35.638839,0.429611,-0.000000,0.000000,
6,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1300,143.380349,336.951952,251.713200,40297.860011,1,143.380349,336.951927,251.713200,40297.860011,4152.846976,4839.985416,92.697477,99.180029,7108538.050030,5.399812,0.354950,2.319335,1.628753,52.650281,284.301645,0.867524,0.858213,22.403836,26.021596,330.749753,93464.247267,10.692268,12917.892736,12057.332070,92.270662,98.707664,0.849801,8433383.231917,22.403836,3.526210,694.364564,999344.755903,1,0.382925,22.786761,4.907341,1300.000000,999344.755903,3.773251,6081.760447,99.114591,0.871307,8433383.231929,22.786761,16.171128,991.516927,264849.793991,4.594206,2238.747810,99.958011,0.864885,7108538.050030,22.786761,63.211846,717.786751,57648.649401,1.000000,22.786761,63.211846,717.786751,57648.649401,2.180665,608.535392,30800.886501,488.022824,1.000000,608.535392,26436.267341,0.264781,0.264781,12.276125,120.976513,189.208985,295.761033,65635.240645,1.000000,120.976513,189.208985,295.761033,65635.240645,2.482773,246.191819,34630.684830,314.950991,1.000000,246.191819,26436.267341,0.783835,0.783835,44.524740,56.800865,22.451147,34.349718,0.382925,0.000000,0.000000,
7,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1250,136.776304,321.432061,251.713200,40297.860011,1,136.776304,321.432048,251.713200,40297.860011,3932.339039,4582.991792,87.775425,93.913766,6244894.399869,5.587086,0.946214,2.204670,1.552146,48.797305,272.634743,0.855334,0.837793,20.764311,25.207987,326.495852,88843.465943,10.208365,12533.478162,11774.489495,89.524844,96.392166,0.852753,7487435.884289,20.764311,3.552005,675.555082,906946.499859,1,0.333371,21.097682,4.909253,1250.000000,906946.499859,3.778636,6017.635999,98.069553,0.869183,7487435.884288,21.097682,16.187105,951.804158,240019.569044,4.591642,2163.647305,96.604843,0.856581,6244894.399867,21.097682,63.269668,689.706502,52273.146201,1.000000,21.097682,63.269668,689.706502,52273.146201,1.977327,583.849603,27899.251535,478.607931,1.000000,583.849603,26436.267341,0.264781,0.264781,10.484887,116.011993,189.217453,292.099791,62548.171613,1.000000,116.011993,189.217453,292.099791,62548.171613,2.365999,243.126120,33000.223827,313.001920,1.000000,243.126120,26436.267341,0.783835,0.783835,41.457032,51.941920,19.174336,32.767583,0.333371,-0.000000,-0.000000,
8,OD,10000,223.150000,26436.267341,251.713200,40297.860011,0.800000,,1200,130.711890,307.180333,251.713200,40297.860011,1,130.711890,307.180332,251.713200,40297.860011,3741.528521,4360.609380,83.516262,89.356750,5470260.434259,5.800839,1.527955,2.117533,1.482204,45.168002,262.012330,0.845593,0.819494,19.219964,24.166012,323.083262,85332.036792,9.625978,12152.785239,11476.987428,86.805609,93.956658,0.852780,6625950.962026,19.219964,3.581253,657.452298,821404.294464,1,0.288595,19.508559,4.910957,1200.000000,821404.294464,3.782714,5955.174779,97.051621,0.866995,6625950.962026,19.508559,16.196598,912.198917,217146.815967,4.584679,2102.875668,93.891446,0.848849,5470260.434258,19.508559,63.239091,661.599697,47363.579248,1.000000,19.508559,63.239091,661.599697,47363.579248,1.791614,566.184659,26436.267341,452.920263,0.960082,566.184659,26436.267341,0.264781,0.264781,8.835821,111.491926,189.225890,288.429596,59729.664010,1.000000,111.491926,189.225890,288.429596,59729.664010,2.259383,240.053483,31511.613564,311.035649,1.000000,240.053483,26436.267341,0.783835,0.783835,38.656195,47.492016,16.177289,31.314728,0.288595,-0.000000,0.000000,
